%SV Positoins in the GPS week 1475 at time-of-week 401131.0, the SV positions are:
% SVs       X                   Y                   Z               psuedorange
29,	-6312199.816587273,	 -21921289.974056289,  13746454.249847598,  2.0646655321570620e+07  
26,  9605882.6610960439, -22854082.767577961,  8229674.6881246883,  2.0333894643780984e+07
15,  7096107.6186300404, -24973773.28627247,   5607257.6985331848,  2.0831733091673966e+07
18,	-19323807.612536758, -18372672.040761806,  2387311.2630481329,  2.3670685622865461e+07
30,	-16396047.81949692,	 -19265690.597941168, -8592664.9165097661,  2.4908984368642207e+07
10,	 12403112.771679578, -9162334.0334685426,  21518527.052515138,  2.2036775679986749e+07
24,	-1927696.6836312828, -15582793.563666735,  21613736.209084384,  2.1002705577592533e+07
21,	-16915195.486541487, -8533742.5540976413,  19014286.678915169,  2.3536299603712238e+07
2,	 22710356.64390327,	 -12723594.50625179,   4066813.9796806718,  2.3480552461454477e+07

% SOOPs
41, 4.2336802049975999e+05, -5.3616099455865398e+06, 3.4173427062488399e+06, 1.8173738434767776e+02
42, 4.2336902049975999e+05, -5.3616599455865398e+06, 3.4173527062488399e+06, 1.7323933369440221e+02
43, 4.2337002049975999e+05, -5.3617199455865398e+06, 3.4172327062488399e+06, 1.9512623192369179e+02
44, 4.2337102049975999e+05, -5.3617299455865398e+06, 3.4172927062488399e+06, 1.8268010643437754e+02
45, 4.2337202049975999e+05, -5.3616099455865398e+06, 3.4173027062488399e+06, 1.6800735254367720e+02
46, 4.2337302049975999e+05, -5.3616099455865398e+06, 3.4172627062488399e+06, 1.7426977851050856e+02
